ID,Father,Died_AD,Era,Source_Work,Source_Ref,Quote_Text,Topic,Subtopics,Position,Book,Section,Notes
FC001,Tertullian,c.220,Latin Patristic,Adversus Hermogenem,,I adore the fullness and perfection of the Scripture.,Scripture & Canon,Sola Scriptura,Reformed,Forged Catholicism,Holy Scripture,Proves Scripture is perfect rule.
FC002,Athanasius,c.296-373,Greek Patristic,Synopsis Scripturae Sacrae,,Those doctrines which are contained in the Scriptures are sufficient for faith.,Scripture & Canon,Sola Scriptura,Reformed,Forged Catholicism,Holy Scripture,Patristic witness to Scripture's sufficiency.
FC003,Basil of Caesarea,c.330-379,Greek Patristic,De Fide,,"It is a manifest offense of arrogance and infidelity, either to reject any part of that which is written, or to add any other thing which is not written.",Scripture & Canon,Sola Scriptura,Reformed,Forged Catholicism,Holy Scripture,Proves Scripture is complete.
FC004,Augustine,354-430,Latin Patristic,Contra Litteras Petiliani,"bk. 3, ch. 46","Whether it concerns Christ, or His church, or any other thing belonging to our faith, or life, I will not say if we do preach, that even as the apostle himself says afterwards, if an angel comes from heaven with any other doctrine than that you have heard out of the legal and evangelical Scriptures, let him be accursed.",Scripture & Canon,Sola Scriptura,Reformed,Forged Catholicism,Holy Scripture,Scripture alone is the rule.
FC005,Augustine,354-430,Latin Patristic,In Ioannem,Tract. 49,"Whereas our Savior Christ did many things, and yet all of them are not written: those things were chosen to be written which were sufficient for the salvation of believers.",Scripture & Canon,Sola Scriptura,Reformed,Forged Catholicism,Holy Scripture,Sufficiency of written Scripture.
FC006,Vincent of Lerins,c.380-445,Latin Patristic,Commonitorium,ch. 41,The Canon of Holy Scripture suffices for all things even abundantly.,Scripture & Canon,Sola Scriptura,Reformed,Forged Catholicism,Holy Scripture,Key patristic sola scriptura text.
FC007,Salvian of Marseille,c.400-480,Latin Patristic,De Gubernatione Dei,bk. 3,The books of the gospel contain doctrine replete with all manner of perfection.,Scripture & Canon,Sola Scriptura,Reformed,Forged Catholicism,Holy Scripture,Gospel sufficiency.
FC008,Duns Scotus,c.1266-1308,Medieval,Prologus in Sententiarum,q. 2,It is evident that the Scripture sufficiently contains all things necessary for the pilgrimage to heaven.,Scripture & Canon,Sola Scriptura,Reformed,Forged Catholicism,Holy Scripture,Scholastic witness to Scripture sufficiency.
FC009,Cameracensis (Pierre d'Ailly),1351-1420,Medieval,In Sententiarum,,"We must have recourse only to the Scriptures, that we may obtain salvation.",Scripture & Canon,Sola Scriptura,Reformed,Forged Catholicism,Holy Scripture,Medieval conciliarist agrees with Reformed position.
FC010,Bellarmine,1542-1621,Post-Tridentine,De Verbo Dei,"bk. 4, ch. 11","I say that all those things were written by the apostles which are necessary for all men, and which they publicly preached to all men.",Scripture & Canon,Sola Scriptura,Reformed,Forged Catholicism,Holy Scripture,Bellarmine's own concession used against him.
FC011,Dionysius of Alexandria,c.200-265,Greek Patristic,On Nepos,,"In many other things I do embrace and love Nepos, but surely the truth is to be preferred and respected before all. If any man speaks well, we ought to give him his due praise and approbation without all envy, but if he speaks anything that is not sound, we must both examine it and try it thoroughly.",Scripture & Canon,Patristic Fallibility|Sola Scriptura,Reformed,Forged Catholicism,Holy Scripture,Fathers must be tested by truth.
FC012,Augustine,354-430,Latin Patristic,Various,,"I will not bind you to my authority, that you should therefore think anything necessary to be believed because I affirm it.",Scripture & Canon,Patristic Fallibility|Sola Scriptura,Reformed,Forged Catholicism,Holy Scripture,Augustine disclaims binding authority.
FC013,Augustine,354-430,Latin Patristic,Various Epistles,,"I have learned to give this honor and reverence to those books alone which are now called canonical, that I do infallibly believe that no author of them all, or any of them, ever erred in any of his writings. For others, I so read them that (however holy or learned they may be) I do not think this or that to be true because they so held it, but so far as they are able to persuade me, either by those canonical authors, or by probable reason, that it is not opposing the truth.",Scripture & Canon,Sola Scriptura|Patristic Fallibility,Reformed,Forged Catholicism,Holy Scripture,Classic Augustine statement on canonical vs. patristic authority.
FC014,Augustine,354-430,Latin Patristic,Letter (against Cyprian),,"I am not tied to the authority of this epistle, because I do not hold Cyprian's letters for canonical, but I examine them by canonical Scriptures: and whatever I find therein consenting to them, I approve with his praise; and whatever is opposite to them, by his leave I must reject.",Scripture & Canon,Sola Scriptura,Reformed,Forged Catholicism,Holy Scripture,Augustine tests even Cyprian by Scripture.
FC015,Augustine,354-430,Latin Patristic,Various,,"In those parts of Scripture which are most plain, we found all those things that contain the rules of our faith and manner, namely, hope and charity.",Scripture & Canon,Sola Scriptura,Reformed,Forged Catholicism,Holy Scripture,Scripture's perspicuity.
FC016,Chrysostom,c.347-407,Greek Patristic,Various Homilies,,"If a man affirms anything without authority of Scripture, his auditors do but slenderly respect it.",Scripture & Canon,Sola Scriptura,Reformed,Forged Catholicism,Holy Scripture,Chrysostom on Scripture's authority.
FC017,Basil of Caesarea,c.330-379,Greek Patristic,Regulae Morales,Rules 8 & 26; Ep. 80,"It is not sufficient for us to believe the fathers and writers of the Church in matters of faith, unless they confirm their sayings by Scripture.",Scripture & Canon,Sola Scriptura|Patristic Fallibility,Reformed,Forged Catholicism,Holy Scripture,Basil: Fathers must be confirmed by Scripture.
FC018,Basil of Caesarea,c.330-379,Greek Patristic,De Spiritu Sancto,ch. 27,"We preach and observe some things out of the written word, and other some which we have received by mystical tradition from the apostles. And both these have like force and efficacy unto godliness.",Scripture & Canon,Tradition vs. Scripture|Sola Scriptura,Roman Catholic,Forged Catholicism,Tradition,Perkins uses this to show Basil contradicts himself vs. his Regulae.
FC019,Chrysostom,c.347-407,Greek Patristic,In 2 Thessalonicenses,Hom. 1,"It is a tradition, inquire no further.",Scripture & Canon,Tradition vs. Scripture|Sola Scriptura,Roman Catholic,Forged Catholicism,Tradition,Shown as self-contradicting his own sola scriptura statements.
FC020,Chrysostom,c.347-407,Greek Patristic,In Psalmum 95,Hom. 1,"If we preach anything without Scripture, our auditory will be most uncertain what to think, now assenting, now doubting, and sometimes plainly rejecting as frivolous the words they hear.",Scripture & Canon,Sola Scriptura|Tradition vs. Scripture,Reformed,Forged Catholicism,Tradition,Chrysostom against himself on traditions.
FC021,Chrysostom,c.347-407,Greek Patristic,Sermo de Sancto et Adorando Spiritu,,"If you hear any say, I have the Holy Spirit, and yet he speaks not out of the gospel, but of his own fantasy, he speaks of himself, and the Holy Ghost is not in him. If any of those that are said to have the Holy Ghost, do speak ought besides the gospel of themselves, believe them not, but follow my doctrine.",Scripture & Canon,Sola Scriptura|Tradition vs. Scripture,Reformed,Forged Catholicism,Tradition,Chrysostom's strong sola scriptura statement.
FC022,Augustine,354-430,Latin Patristic,De Consensu Evangelistarum,"bk. 1, ch. 35","Therefore is Christ called the Mediator of God and man, between immortal God and mortal man; God and man reconciling man unto God, remaining that which He was, and made that which He was not.",Christology,Christ the Sole Mediator,Reformed,Forged Catholicism,The Mediator,Christ as God-man Mediator.
FC023,Cyril of Alexandria,c.376-444,Greek Patristic,De Fide ad Reginas,bk. 1,"Christ's death is confessed to be profitable unto us, but if He were not God, how could He, and He alone suffice for the price of all our redemption? But He only in His death satisfied for all, because He is above all.",Christology,Divinity of Christ,Reformed,Forged Catholicism,The Mediator,Christ's deity necessary for sufficient redemption.
FC024,Augustine,354-430,Latin Patristic,Enchiridion,ch. 108,"Neither could we be freed by that one Mediator of God and man, the man Christ, unless He were God.",Christology,Christ the Sole Mediator,Reformed,Forged Catholicism,The Mediator,Christ's deity essential to mediation.
FC025,Athanasius,c.296-373,Greek Patristic,Synopsis Scripturae Sacrae,,"Besides these, there are other books of the Old Testament which are not canonical, but only read by the catechumens, as the book of Wisdom, Ecclesiasticus, etc.",Scripture & Canon,Biblical Canon,Reformed,Forged Catholicism,Holy Scripture,"Athanasius limits OT canon, excluding Apocrypha."
FC026,Cyril of Jerusalem,c.313-386,Greek Patristic,Catecheses,Catech. 4,"Of these, read the 22 books, but meddle not with the Apocrypha. Meditate diligently upon those Scriptures which the Church confidently reads and use no other. The apostles and bishops, at the first sowing of the Word, who left us these books, were far wiser, far holier than you are; therefore since you are a son of the church, do not break the bounds they have set you.",Scripture & Canon,Biblical Canon,Reformed,Forged Catholicism,Holy Scripture,Cyril strictly limits canon to 22 OT books.
FC027,Epiphanius,c.315-403,Greek Patristic,De Ponderibus et Mensuris,,"They are fit and profitable, but not reckoned among those which are approved by the church, and therefore they were neither laid up in Aaron, nor in the ark of the testament.",Scripture & Canon,Biblical Canon,Reformed,Forged Catholicism,Holy Scripture,Epiphanius on Wisdom and Ecclesiasticus — useful but not canonical.
FC028,Tertullian,c.220,Latin Patristic,De Praescriptione Haereticorum,,"He sits at God's right hand, but He has sent His deputy, namely, the power of the Holy Spirit to work upon the hearts of the faithful.",Scripture & Canon,Sola Scriptura,Reformed,Forged Catholicism,Holy Scripture,Holy Spirit speaks through Scripture.
FC029,Optatus of Milevis,c.320-385,Latin Patristic,Contra Parmenianum,,"Since earth affords no judgment of this matter, we must seek a judge in heaven. But what need we knock at heaven, since we have here a testament in the gospel? An earthly father, feeling himself near death, and fearing the contention of his sons after his death, calling some witnesses, he transposes his will out of his dying breast into lasting parchment. If so be now contention do arise among the brethren, do they run to their father's grave? No, but seek out his will and testament, and he who sleeps in his tomb speaks lively out of the silent parchment.",Scripture & Canon,Sola Scriptura,Reformed,Forged Catholicism,Holy Scripture,Scripture as the testament / will of Christ settling controversies.
FC030,Augustine,354-430,Latin Patristic,De Nuptiis et Concupiscentia,"bk. 2, ch. 33","This controversy requires a judge. Then let Christ be the judge, let Himself speak who it was that His death did profit, and with Him let the apostle also judge, because in the apostle Christ speaks.",Scripture & Canon,Sola Scriptura,Reformed,Forged Catholicism,Holy Scripture,Scripture as judge of controversy.
FC031,Cyprian,c.200-258,Latin Patristic,Epistolae,Ep. 74 ad Pompeianum,"If it be taught in the gospel, or contained in the epistles or Acts of the Apostles, that converts from heresies should not be baptized, but only have imposition of hands in sign of repentance, let this holy and divine tradition be observed.",Scripture & Canon,Tradition vs. Scripture,Reformed,Forged Catholicism,Tradition,Tradition defined as what is in Scripture.
FC032,Cyprian,c.200-258,Latin Patristic,Epistolae,Ep. 74,"Custom without truth, is but an antiquity in error.",Scripture & Canon,Tradition vs. Scripture,Reformed,Forged Catholicism,Tradition,Classic Reformed proof-text against mere tradition.
FC033,Jerome,c.347-420,Latin Patristic,Epistolae,Ep. ad Lucinium,Every province thinks their fathers' precepts to be apostolic doctrines.,Scripture & Canon,Tradition vs. Scripture,Reformed,Forged Catholicism,Tradition,"Shows tradition is relative to region, not universally apostolic."
FC034,Tertullian,c.220,Latin Patristic,De Corona Militis,ch. 34,"Do you not think that it is lawful for any Christian to invent and institute what agrees with God, assists discipline, and helps unto salvation?",Scripture & Canon,Tradition vs. Scripture,Roman Catholic,Forged Catholicism,Tradition,Tertullian on custom — Perkins shows this proves too much.
